1,475.0600000000,20201002 19:45:04.064
2,475.0500000000,20201002 19:45:09.064
3,475.0400000000,20201002 19:45:14.064
4,475.0300000000,20201002 19:45:34.064
5,475.0000000000,20201002 19:45:44.064
6,475.0300000000,20201002 19:45:49.063
7,475.0000000000,20201002 19:45:59.064
8,475.0100000000,20201002 19:46:19.065
9,475.0200000000,20201002 19:46:24.064
10,474.9900000000,20201002 19:46:29.064
11,475.0200000000,20201002 19:46:39.065
12,474.6200000000,20201002 19:46:44.064
13,474.6300000000,20201002 19:46:49.064
14,474.7700000000,20201002 19:46:54.064
15,474.7500000000,20201002 19:47:04.063
16,475.2200000000,20201002 19:47:19.063
17,475.2100000000,20201002 19:47:24.064
18,475.0600000000,20201002 19:47:29.063
19,475.9300000000,20201002 19:47:34.065
20,475.9000000000,20201002 19:47:39.065
21,475.9100000000,20201002 19:47:44.062
22,475.8700000000,20201002 19:47:54.064
23,475.8900000000,20201002 19:47:59.063
24,475.8800000000,20201002 19:48:14.064
25,475.8900000000,20201002 19:48:19.064
26,475.8500000000,20201002 19:48:34.063
27,475.8900000000,20201002 19:48:39.065
28,475.9100000000,20201002 19:48:54.065
29,475.9300000000,20201002 19:48:59.064
30,475.8900000000,20201002 19:49:09.063
31,475.8000000000,20201002 19:49:14.065
32,475.8300000000,20201002 19:49:19.062
33,475.8400000000,20201002 19:49:29.064
34,475.8800000000,20201002 19:49:34.064
35,475.8900000000,20201002 19:49:39.062
36,475.8500000000,20201002 19:49:44.063
37,475.8300000000,20201002 19:49:49.063
38,475.8200000000,20201002 19:49:54.064
39,475.8400000000,20201002 19:49:59.063
40,475.8200000000,20201002 19:50:09.063
41,475.7100000000,20201002 19:50:14.062
42,475.7400000000,20201002 19:50:19.063
43,475.7200000000,20201002 19:50:29.063
44,475.7300000000,20201002 19:50:34.064
45,475.7100000000,20201002 19:50:49.063
46,475.7600000000,20201002 19:50:59.068
47,475.8600000000,20201002 19:51:04.064
48,475.8100000000,20201002 19:51:14.065
49,475.7700000000,20201002 19:51:19.066
50,475.7500000000,20201002 19:51:34.064
51,475.7700000000,20201002 19:51:39.064
52,475.7600000000,20201002 19:51:44.064
53,475.7100000000,20201002 19:51:49.065
54,475.6700000000,20201002 19:51:59.065
55,475.6400000000,20201002 19:52:09.065
56,475.7000000000,20201002 19:52:19.062
57,475.6700000000,20201002 19:52:24.062
58,475.6100000000,20201002 19:52:29.063
59,475.7600000000,20201002 19:52:34.062
60,475.7800000000,20201002 19:52:44.065
61,475.7300000000,20201002 19:52:49.062
62,475.6200000000,20201002 19:52:59.063
63,475.6400000000,20201002 19:53:09.066
64,475.6100000000,20201002 19:53:14.065
65,475.6000000000,20201002 19:53:24.063
66,475.6700000000,20201002 19:53:29.062
67,475.7300000000,20201002 19:53:34.063
68,475.7100000000,20201002 19:53:44.063
69,475.7200000000,20201002 19:53:49.063
70,475.7500000000,20201002 19:53:54.065
71,475.7700000000,20201002 19:54:04.066
72,475.7800000000,20201002 19:54:14.063
73,475.7700000000,20201002 19:54:19.064
74,475.7500000000,20201002 19:54:24.063
75,475.6700000000,20201002 19:54:29.064
76,475.6800000000,20201002 19:54:34.063
77,475.6900000000,20201002 19:54:39.064
78,475.6400000000,20201002 19:54:44.064
79,475.6900000000,20201002 19:54:54.063
80,475.6600000000,20201002 19:54:59.064
81,475.6100000000,20201002 19:55:09.064
82,475.5500000000,20201002 19:55:14.062
83,475.6300000000,20201002 19:55:19.065
84,475.6400000000,20201002 19:55:24.064
85,475.0600000000,20201002 19:44:49.064
86,475.0400000000,20201002 19:44:59.065
87,475.6100000000,20201002 19:55:29.064
88,475.6000000000,20201002 19:55:34.065
89,475.5900000000,20201002 19:55:54.065
90,475.6000000000,20201002 19:55:59.063
91,475.5700000000,20201002 19:56:04.064
92,475.6200000000,20201002 19:56:14.064
93,475.6800000000,20201002 19:56:19.064
94,475.6400000000,20201002 19:56:24.065
95,475.6700000000,20201002 19:56:29.065
96,475.6900000000,20201002 19:56:34.065
97,475.7200000000,20201002 19:56:39.065
98,475.6600000000,20201002 19:56:49.063
99,475.6800000000,20201002 19:56:59.063
100,475.6600000000,20201002 19:57:04.064
101,475.6400000000,20201002 19:57:14.063
102,475.6600000000,20201002 19:57:19.065
103,475.6700000000,20201002 19:57:29.064
104,475.6800000000,20201002 19:57:34.063
105,475.6500000000,20201002 19:57:44.062
